sno,initials,title,artist
1,N E M,Nothing else matters,Metallica
2,B R,Bohemian Rhapsody,Queen
3,C L T C L,Crazy little thing called love,Queen
4,F O T D,Fear of the Dark,Iron Maiden
5,H B T N,Hallowed be thy name,Iron Maiden
6,H Y,Hollow Years,Dream Theater
7,P M U,Pull me Under,Dream Theater
8,T S C O,The spirit carries on,Dream Theater
9,W F S,Wait for Sleep,Dream Theater
10,M,Metropolis,Dream Theater
11,D A D,Die another Day,Dream Theater
12,H C,Hotel California,Eagles
13,T S,Tequila Sunshine,Eagles
14,D D,Doolin Dalton,Eagles
15,D,Desperado,Eagles
